Column1,moduleMetadata.Mutex,moduleMetadata.Inject into,PDB strings,moduleMetadata.Password,Port,C2
e95adfb5c8f44c1bd24a1f471ea70cfa,!erabb,iexplore.exe,C:\Users\tadpole\Desktop\iez.pdb,yiasdo230ay,4213,Twilekescorts.com
20beaff463ba26a4d67343d09c63a29f,$werf,,D:\beldons\ChromeUpdates\obj\Debug.pdb,,,asdfasdfa2.com
22ad784e4e0993df4f67397643a95ff4,,,,,,7.127.160.247
5e2a81a57d25d794e629eea53e246737,$gasd,,C:\Users\beldons\Desktop\clear.pdb,,,lkjlkljk3.com
fa40d4d278af45c1f15e6df460b9f03e,!eradd,iexplore.exe,C:\Users\bela\Desktop\yis.pdb,yiasdo230dz,4213,87.43.23.55
eea08702b89ca8309cf621b53c352468,,,,,,127.214.203.181
2f71c5588d28011e4140339491aabf2c,$adsf,,D:\beldons\ChromeUpdates\obj\Debug.pdb,,,26.28.80.169
a97cbd147efa7447900c40fca6764a24,!errdd,lsass.exe,C:\Users\bela\Desktop\siy.pdb,yiasdo230dz,4213,Ugorfashion.com
3df5a2feac92fac71858a78373319fee,,,,,,59.35.107.52
c53b862f0dd7ac0459292815800cfc53,,,D:\beldons\ChromeUpdates\obj\Debug.pdb,,,240.232.35.77
